town,latitude,longitude
ANG MO KIO,1.3691,103.8454
BEDOK,1.3236,103.9273
BISHAN,1.35,103.8485
BUKIT BATOK,1.3496,103.7528
BUKIT MERAH,1.277,103.819
CHOA CHU KANG,1.3854,103.7443
CLEMENTI,1.3151,103.765
GEYLANG,1.3188,103.887
HOUGANG,1.3612,103.8863
JURONG EAST,1.3329,103.7436
JURONG WEST,1.3404,103.706
KALLANG/WHAMPOA,1.3106,103.866
PASIR RIS,1.3735,103.9493
PUNGGOL,1.4043,103.902
QUEENSTOWN,1.2942,103.7861
SENGKANG,1.3919,103.8957
TAMPINES,1.3496,103.9568
TOA PAYOH,1.3343,103.8563
WOODLANDS,1.4382,103.789
YISHUN,1.4294,103.8354
